date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:09:32	2810/2810	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2281f78ef1410f73cb9e1b623cfa827bb0%22	https://www.protocolodrlapis.site/robots.txt		(from )
19:09:32	30415/30415	---MCZ	200	added ('OK')	text/html	etag:W/%22729364fd6ef49423ceffcb7077b52560%22	https://www.protocolodrlapis.site/	C:/Meus%20Sites/drlapis/www.protocolodrlapis.site/index.html	(from )
19:09:33	28388/28388	---M--	200	added ('OK')	font/woff2	etag:%2218bae71b1e1b2bb25321090a3b563103%22	https://www.protocolodrlapis.site/_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2	C:/Meus%20Sites/drlapis/www.protocolodrlapis.site/_next/static/media/caa3a2e1cccd8315-s.p.853070df.woff2	(from https://www.protocolodrlapis.site/)
19:09:33	171655/171655	---M--	200	added ('OK')	image/png	etag:%22ac921847d3df4917101306d36352aaf8%22	https://www.protocolodrlapis.site/images/relogio10minutos-1024x1024.png	C:/Meus%20Sites/drlapis/www.protocolodrlapis.site/images/relogio10minutos-1024x1024.png	(from https://www.protocolodrlapis.site/)
19:09:33	273325/273325	---M--	200	added ('OK')	image/png	etag:%22747c30cb950ee0052fe131124b83fcf6%22	https://www.protocolodrlapis.site/images/ate-6cm-1024x1024.png	C:/Meus%20Sites/drlapis/www.protocolodrlapis.site/images/ate-6cm-1024x1024.png	(from https://www.protocolodrlapis.site/)
19:09:34	264941/264941	---M--	200	added ('OK')	image/png	etag:%22ec28a341a138248e8c098909652c5159%22	https://www.protocolodrlapis.site/images/semk-bomba-1024x1024.png	C:/Meus%20Sites/drlapis/www.protocolodrlapis.site/images/semk-bomba-1024x1024.png	(from https://www.protocolodrlapis.site/)
19:09:34	175147/175147	---M--	200	added ('OK')	image/png	etag:%223727aa678466b43f6c4325abf572e4ba%22	https://www.protocolodrlapis.site/images/totol-controle-1-1024x1024.png	C:/Meus%20Sites/drlapis/www.protocolodrlapis.site/images/totol-controle-1-1024x1024.png	(from https://www.protocolodrlapis.site/)
19:09:34	199584/199584	---M--	200	added ('OK')	image/png	etag:%22bd69ac79d56245b81b8938fa8e2e2e6a%22	https://www.protocolodrlapis.site/images/erecoes-firmes-1024x1024.png	C:/Meus%20Sites/drlapis/www.protocolodrlapis.site/images/erecoes-firmes-1024x1024.png	(from https://www.protocolodrlapis.site/)
19:09:35	280998/280998	---M--	200	added ('OK')	image/png	etag:%22a703cedf438af18c5668ad47dfb1fafa%22	https://www.protocolodrlapis.site/images/resultados-rapiudos-1-1024x1024.png	C:/Meus%20Sites/drlapis/www.protocolodrlapis.site/images/resultados-rapiudos-1-1024x1024.png	(from https://www.protocolodrlapis.site/)
19:09:35	217142/217142	---M--	200	added ('OK')	image/png	etag:%22117dcd9bc7ed884bf8da6754c892d71e%22	https://www.protocolodrlapis.site/images/design-mode/dmartenova-min.png	C:/Meus%20Sites/drlapis/www.protocolodrlapis.site/images/design-mode/dmartenova-min.png	(from https://www.protocolodrlapis.site/)
19:09:35	123138/123138	---MCZ	200	added ('OK')	image/png	etag:%2262dea9dc-1e102%22	https://dotadomaximo.com.br/wp-content/uploads/2022/04/seja-malicioso-na-cama-pro-1.png	C:/Meus%20Sites/drlapis/dotadomaximo.com.br/wp-content/uploads/2022/04/seja-malicioso-na-cama-pro-1.png	(from https://www.protocolodrlapis.site/)
19:09:35	138157/138157	---MCZ	200	added ('OK')	image/png	etag:%2262dea9dd-21bad%22	https://dotadomaximo.com.br/wp-content/uploads/2022/04/a-pscologia-reversa-capa-pro-1.png	C:/Meus%20Sites/drlapis/dotadomaximo.com.br/wp-content/uploads/2022/04/a-pscologia-reversa-capa-pro-1.png	(from https://www.protocolodrlapis.site/)
19:09:35	128826/128826	---MCZ	200	added ('OK')	image/png	etag:%2262dea9dd-1f73a%22	https://dotadomaximo.com.br/wp-content/uploads/2022/04/manual-do-homem-moderno-pro-1.png	C:/Meus%20Sites/drlapis/dotadomaximo.com.br/wp-content/uploads/2022/04/manual-do-homem-moderno-pro-1.png	(from https://www.protocolodrlapis.site/)
19:09:36	31500/31500	---MCZ	200	added ('OK')	text/css	etag:W/%22dcf4591bed0cd6d9454bc6af38974d69%22	https://www.protocolodrlapis.site/_next/static/chunks/0a656bcc78e8ac46.css	C:/Meus%20Sites/drlapis/www.protocolodrlapis.site/_next/static/chunks/0a656bcc78e8ac46.css	(from https://www.protocolodrlapis.site/)
19:09:36	13374/13374	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f2c0c543a3035cf2a131ed7591320117%22	https://www.protocolodrlapis.site/_next/static/chunks/86f8189d06779899.js	C:/Meus%20Sites/drlapis/www.protocolodrlapis.site/_next/static/chunks/86f8189d06779899.js	(from https://www.protocolodrlapis.site/)
19:09:36	39966/39966	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dde4fbbb7eebaa110e50fb64354c4209%22	https://www.protocolodrlapis.site/_next/static/chunks/8a80c7f2aa2a8276.js	C:/Meus%20Sites/drlapis/www.protocolodrlapis.site/_next/static/chunks/8a80c7f2aa2a8276.js	(from https://www.protocolodrlapis.site/)
19:09:37	51069/51069	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c82cb54f2545b3b1361a93173fe3c3f0%22	https://www.protocolodrlapis.site/_next/static/chunks/041b3e0e3c954a8f.js	C:/Meus%20Sites/drlapis/www.protocolodrlapis.site/_next/static/chunks/041b3e0e3c954a8f.js	(from https://www.protocolodrlapis.site/)
19:09:37	300325/300325	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c1586750f9dcb8b5c1be57a0c70d2b01%22	https://www.protocolodrlapis.site/_next/static/chunks/3fd56f46d5aede3a.js	C:/Meus%20Sites/drlapis/www.protocolodrlapis.site/_next/static/chunks/3fd56f46d5aede3a.js	(from https://www.protocolodrlapis.site/)
19:09:37	10348/10348	---MCZ	200	added ('OK')	application/javascript	etag:W/%22651e2a4b702d140c5355c015816e11e6%22	https://www.protocolodrlapis.site/_next/static/chunks/turbopack-00af2a33cebeb07d.js	C:/Meus%20Sites/drlapis/www.protocolodrlapis.site/_next/static/chunks/turbopack-00af2a33cebeb07d.js	(from https://www.protocolodrlapis.site/)
19:09:38	28021/28021	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c86220a2f838cb760b5abd92b5937dac%22	https://www.protocolodrlapis.site/_next/static/chunks/1e086dccfb274931.js	C:/Meus%20Sites/drlapis/www.protocolodrlapis.site/_next/static/chunks/1e086dccfb274931.js	(from https://www.protocolodrlapis.site/)
19:09:38	3075/3075	---MCZ	200	added ('OK')	application/javascript	etag:W/%227312a8ba80e2a760033d4dc7159798bc%22	https://www.protocolodrlapis.site/_next/static/chunks/7694e6cc91dfcb5e.js	C:/Meus%20Sites/drlapis/www.protocolodrlapis.site/_next/static/chunks/7694e6cc91dfcb5e.js	(from https://www.protocolodrlapis.site/)
19:09:38	19159/19159	---MCZ	200	added ('OK')	application/javascript	etag:W/%222ee15e05e7bef6a7cbe1473932c52d30%22	https://www.protocolodrlapis.site/_next/static/chunks/dd97f52f46a40e0d.js	C:/Meus%20Sites/drlapis/www.protocolodrlapis.site/_next/static/chunks/dd97f52f46a40e0d.js	(from https://www.protocolodrlapis.site/)
